"","Times","DRYCRK02","ENISH04","CHQSTCR01","BRSHYCR01","INDIAN02","SOAPCR02","HONEYCR01","ENDWY01","RLSTNCR01","BNNTTCR01","BVRCR01","TIPTNCR01","SQWCR03","SSKNK04","LAKECR01","CRANECR02","YELLOWRV01","TKYRV03","LTLTKY02","PRICECR01","CLRCRK03","WNBGORV01","POUDRERV01","DRYCR02","SKKMCHCK01","ONIONCR01","HRGVCR01","CLRCRKW01","BFFLOCR02","MDCRK01","CRANECR01","FLOYDRV01","OTTERCR01","BLUECR01","MDDLRCCN02","MDDLRCCN03","BEARCRK01","NFCTFSH01","RAVENCR01","CHSLSCR01","WNISH03","NBEARCR01","ENISH05","WFLTLSIOUX01","INDCR03","SHLRK01","SHLRK03","CHQSTCR02","BEVRCRK01","LTLSIOUX04","WLLWCR02","DEERCR01","SHLRK04","OTTRCRK03","OTTRCRK04","SQWCR04","LTLCEDAR02","RHNCR01","SENGLSH01","WNBGORV04","PRICECR02","SFIOWA03","SCHQSTCR01","WNBGORV06","MAPLERV02","DEEPCRK01","OTTRCRK01","INDCR04","FLOYDRV02","PRAIRIE01","FOURMLE03","BEARCREEK01","LNGDCKCR01","MNTGMRY01","NWLNTCR02","CEDARRV04","DRYRNCRK01","INDCR01","LTLWLNT01","CLRCRKS01","WLNTCR02","BFFLOCR01","EFDSMNS01","SBVRCRK01","TRBLSM01","SOAPCR03","UIWARV01","HOOSRCR01","BOONERV01","CLRCRK02","DRYCR01","CEDARRV03","ELKRN01","CEDARRV05","MQKTARV02","DRYCRK01","TIPTNCR02","VLGARV01","RBRTSCR01","SHLRK05","NRCCNRV03","FOURMLE02","LTLSIOUX01","WNISH02","MRGNCR01","TKYRV01","WNBGORV05","SOAPCR01","INDIAN01","MDDLRCCN01","TKYRV02","BEAVER03","WAPSI03","MQKTARV05","MILLERCRK01","SKNKRV01","BRCHFLD01","LTLCEDAR01","LIMECR01","SSKNK03","OTTRCRK02","WNBGORV02","LTLWAPSI01","HEWITTCR01","BEAR01","NFMQKTA02","WOLFCRK01","MQKTARV03","ENISH02","IOWARV01","BEVRCRK02","WALNUTCR01","MUDCR01","CDRCR01","WLLWCR01","WAPSI04","BEAVER01","SQWCR02","RAPIDTRB01","SQWCR01","WLLWCR-IC01","LTLSOAP01","WLNTCR01","COFFINSCR01","WNISH01","EBRBVRDAM01","INDCR02","WFCRKDCR01","EINDNCR01","LTLSIOUX03","NSKNK01","SFIOWA01","SLVRCR01","WLFCR01","WNBGORV03","NWLNTCR01","VLGARV02","ENISH01","LTLTKY01","NENGLSH01","WATERMAN01","CLRCRKS02","SHLRK02","KEGCR01","LTLSIOUX02","SSKNK02","DUCKCR01","SSKNK01","DSMNSRV04","NORTHRV01","NFMQKTA01","HNYCRK01","SUGARCR01","SPRNGCRK01","VLGARV03","BEAVER02","DRNGDTCH01","GRANCRK01","SPRINGCR01","LTLASHER01","COONCR01","DYECRK01","BOYERRV02","MADCRK01","FOURMLE01","CEDARCRK01","OCHYDNRV01","WAPSI02","MCHKNCK01","MQKTARV01","MUDCRK01","MQKTARV04","GRNGRCR01","BLCKHWK01","DSMNSRV02","NRCCNRV02","MSQUTOCR02","SRCCNRV01","MADCRK02","WFKLTSIOUX01","WAPSI05","BRCKCMP01","SLOUGHCR01","ROCKCR02","CLRCRK01","BEAVERCRK01","MAPLERV01","ROGERSCR01","NRCCNRV01","PRAIRIECRK01","RCCNRV01","DSMNSRV01","DSMNSRV03","LTLSIOUX05","CTFSHCR01","WLNTCRK01","ROCKCR01","WBFLOYDRV01","BOYERRV01","CAMPCR01","CEDARRV02","RAPIDCR01","GENEVACR01","MSQUTOCR01"
"159","19:00:08-05",843.22,1049.2,620.21,1189.31,1057.99,707.55,667.72,965.95,651.74,827.29,909.64,1010.56,929.48,974.99,1104.07,1141.75,965.72,1121.13,1118.54,710.41,755.94,1043.14,5110.66,776.69,202.44,955.29,982.97,748.18,729.23,1026.25,985.83,-9999,741.92,763.4,1123.34,1196.12,738.28,690.48,823.87,1136.35,1169.95,804.2,1173.33,1129.79,769.62,916.41,948.77,669.39,968.3,1366.06,1110.75,675.99,1053.93,976.45,1082.38,970.71,1073.23,729.06,686.38,1152.44,763.79,1125.67,666.27,1209.5,1253.16,665.34,793.28,811.02,1367.07,960.5,907.17,954.91,991.68,965.39,834.05,1096.76,844.76,698.13,897.49,739.04,862.1,701.45,1090.11,1087.2,1185.86,768.7,885.14,711.54,1077.83,711.63,736.97,922.66,847.43,1130.8,839.72,810.26,1084.36,777.7,749.26,1125.79,1194.32,824,1161.82,1017.2,726.54,758.27,1193.77,634.24,1038.82,910.11,817.17,1082.57,709.63,967.01,821.01,599.94,1045.92,947.68,786.81,878.11,884.19,1062.45,1089.1,932.23,928.3,921.59,1043.88,896.45,947.21,617.55,1081.17,756.66,770.51,731.97,1101.5,737.78,1002.04,888.32,750.96,872.23,NA,645.66,840.05,966.73,912.89,1106.45,730.61,660.76,885.8,1319.58,809.82,1091.43,1006.04,805.12,1110.44,825.73,847.2,917.38,936.14,691.71,1231.66,770.78,928.35,998.66,1303.04,778.35,616.05,745.42,904.53,762.9,808.18,945.86,631.49,1136.32,1084.14,1037.28,947.35,971.01,778.16,946.03,881.69,1021.48,1059.96,570.46,770.98,666.9,1357.92,665.03,715.17,795.04,816.47,904.74,605.44,552.79,887.05,932.88,1078.05,918.42,616.98,1392.13,811,990.37,1095.03,1137.02,698.85,974.52,1199.58,1008.15,896.81,738.98,845.93,869.25,995.41,1387.52,606.22,746.32,1026.64,1244.21,1000.66,812.27,718.1,730.55,587.69,991.73
"160","18:45:07-05",843.23,1049.16,620.19,1189.28,1057.99,707.55,667.71,965.94,651.74,827.29,909.65,1010.55,929.48,975,1104.05,1141.76,965.73,1121.12,1118.51,710.42,755.93,1043.14,5110.66,776.69,202.48,955.3,982.98,748.17,729.23,1026.23,985.83,-9999,741.92,763.38,1123.39,1196.13,738.29,690.49,823.88,1136.35,1169.94,804.2,1173.34,1129.76,769.64,916.42,948.8,669.38,968.29,1366.02,1110.76,675.98,1053.93,976.45,1082.39,970.71,1073.24,729.08,686.38,1152.44,763.8,1125.66,666.3,1209.5,1253.15,665.33,793.28,811.04,1367.03,960.51,907.17,954.91,991.67,965.38,834.08,1096.76,844.76,698.11,897.49,739.04,862.12,701.46,1090.1,1087.2,1185.87,768.69,885.15,711.52,1077.78,711.68,736.97,922.66,847.41,1130.79,839.72,810.27,1084.36,777.66,749.25,1125.79,1194.34,823.98,1161.81,1017.17,726.55,758.26,1193.75,634.25,1038.82,910.11,817.17,1082.57,709.63,967.02,820.97,599.94,1045.91,947.69,786.81,878.15,884.18,1062.46,1089.1,932.23,928.29,921.57,1043.89,896.45,947.18,617.56,1081.17,756.64,770.5,731.95,1101.49,737.78,1002.04,888.3,750.96,872.24,NA,645.8,840.05,966.73,912.85,1106.46,730.61,660.76,885.81,1319.56,809.78,1091.42,1005.99,805.14,1110.42,825.7,847.21,917.37,936.15,691.71,1231.64,770.77,928.34,998.65,1303.04,778.34,616.06,745.4,904.53,762.92,808.17,945.87,631.48,1136.32,1084.15,1037.29,947.36,971.01,778.16,946.04,881.71,1021.48,1059.96,570.41,770.98,666.88,1357.89,665.02,715.18,795.03,816.45,904.72,605.44,552.79,887.02,932.89,1078.06,918.42,616.98,1392.14,810.99,990.36,1095.03,1137.02,698.88,974.52,1199.58,1008.14,896.84,738.99,845.9,869.26,995.45,1387.49,606.22,746.33,1026.65,1244.19,1000.68,812.24,718.08,730.54,587.66,991.72
"161","18:30:07-05",843.22,1049.13,620.16,1189.28,1057.97,707.58,667.72,965.93,651.73,827.31,909.67,1010.56,929.46,975,1104.05,1141.75,965.72,1121.12,1118.53,710.42,755.95,1043.15,5108.4,776.7,202.53,955.3,982.99,748.17,729.23,1026.22,985.83,-9999,741.92,763.41,1123.37,1196.12,738.29,690.48,823.9,1136.34,1169.91,804.2,1173.29,1129.79,769.64,916.42,948.79,669.38,968.29,1366.02,1110.75,675.99,1053.91,976.47,1082.39,970.7,1073.24,729.08,686.37,1152.43,763.79,1125.65,666.31,1209.48,1253.15,665.34,793.28,811.02,1367.05,960.52,907.14,954.91,991.67,965.39,834.05,1096.77,844.76,698.09,897.51,739.05,862.1,701.48,1090.07,1087.21,1185.84,768.67,885.15,711.52,1077.78,711.66,736.98,922.67,847.4,1130.77,839.71,810.26,1084.37,777.67,749.24,1125.81,1194.36,823.96,1161.83,1017.18,726.54,758.28,1193.74,634.25,1038.81,910.06,817.16,1082.57,709.65,967,820.98,599.93,1045.9,947.67,786.8,878.16,884.17,1062.47,1089.11,932.24,928.3,921.58,1043.89,896.45,947.13,617.56,1081.16,756.56,770.5,731.92,1101.49,737.79,1002.04,888.31,750.96,872.24,NA,645.74,840.06,966.73,912.83,1106.44,730.59,660.75,885.83,1319.55,809.78,1091.42,1005.99,805.13,1110.44,825.67,847.21,917.37,936.15,691.71,1231.61,770.76,928.34,998.64,1303.05,778.34,616.05,745.42,904.53,762.92,808.18,945.87,631.49,1136.32,1084.15,1037.29,947.36,971.02,778.14,946.04,881.75,1021.48,1059.97,570.37,770.99,666.85,1357.9,665.02,715.17,795.02,816.44,904.73,605.45,552.79,887.03,932.89,1078,918.43,616.98,1392.13,810.99,990.36,1095.03,1137.03,698.89,974.52,1199.6,1008.14,896.83,738.99,845.9,869.28,995.46,1387.47,606.21,746.32,1026.65,1244.17,1000.68,812.23,718.07,730.53,587.64,991.69
"162","18:15:07-05",843.2,1049.15,620.17,1189.28,1058,707.58,667.71,965.92,651.73,827.29,909.67,1010.55,929.48,975,1104.04,1141.74,965.72,1121.12,1118.53,710.42,755.95,1043.14,5103.88,776.69,202.53,955.3,983,748.17,729.21,1026.23,985.83,1191.1,741.91,763.4,1123.37,1196.07,738.3,690.48,823.9,1136.32,1169.9,804.18,1173.31,1129.78,769.64,916.42,948.78,669.37,968.26,1366.04,1110.75,675.99,1053.92,976.47,1082.39,970.71,1073.24,729.09,686.35,1152.43,763.78,1125.67,666.33,1209.51,1253.15,665.33,793.27,811.02,1367.07,960.51,907.16,954.92,991.66,965.38,834.06,1096.77,844.75,698.07,897.52,739.05,862.07,701.46,1090.09,1087.2,1185.83,768.63,885.14,711.52,1077.76,711.65,736.97,922.66,847.42,1130.74,839.72,810.27,1084.36,777.67,749.24,1125.8,1194.37,823.95,1161.82,1017.17,726.52,758.26,1193.73,634.25,1038.8,910.05,817.16,1082.57,709.64,967.01,820.98,599.94,1045.9,947.71,786.79,878.18,884.16,1062.45,1089.11,932.25,928.3,921.57,1043.88,896.46,947.15,617.55,1081.12,756.48,770.51,731.88,1101.5,737.78,1002.04,888.31,750.97,872.24,NA,645.62,840.05,966.73,912.81,1106.44,730.58,660.75,885.85,1319.57,809.83,1091.41,1005.93,805.12,1110.46,825.68,847.2,917.39,936.15,691.71,1231.66,770.77,928.34,998.61,1303.05,778.34,616.07,745.41,904.52,762.92,808.21,945.87,631.49,1136.32,1084.15,1037.29,947.36,971.01,778.14,946.05,881.79,1021.49,1059.97,570.24,770.99,666.77,1357.91,665.01,715.17,795.02,816.39,904.73,605.44,552.76,887.05,932.88,1077.98,918.42,616.98,1392.12,811,990.36,1095.02,1137.02,698.87,974.53,1199.64,1008.14,896.83,739,845.89,869.27,995.49,1387.46,606.21,746.32,1026.65,1244.19,1000.69,812.25,718.05,730.54,587.63,991.68
"163","18:00:06-05",843.17,1049.14,620.11,1189.3,1058.01,707.59,667.71,965.92,651.74,827.28,909.67,1010.54,929.5,974.99,1104.06,1141.75,965.72,1121.12,1118.53,710.41,755.9,1043.14,5103.87,776.68,202.52,955.29,983.02,748.17,729.22,1026.21,985.82,-9999,741.91,763.38,1123.39,1196.1,738.3,690.45,823.89,1136.32,1169.9,804.18,1173.29,1129.78,769.63,916.41,948.78,669.35,968.29,1366.05,1110.74,675.98,1053.93,976.46,1082.4,970.72,1073.23,729.09,686.33,1152.42,763.78,1125.64,666.31,1209.52,1253.16,665.32,793.28,810.98,1367.1,960.52,907.16,954.93,991.64,965.38,834.06,1096.75,844.75,698.05,897.53,739.03,862.11,701.45,1090.09,1087.18,1185.83,768.6,885.15,711.52,1077.76,711.65,736.98,922.63,847.42,1130.78,839.71,810.25,1084.36,777.68,749.25,1125.79,1194.37,823.95,1161.82,1017.16,726.52,758.28,1193.73,634.26,1038.77,910.01,817.16,1082.56,709.63,967.01,820.98,599.93,1045.94,947.68,786.8,878.18,884.16,1062.45,1089.11,932.24,928.29,921.57,1043.89,896.45,947.2,617.54,1081.11,756.49,770.47,731.85,1101.49,737.79,1002.04,888.38,750.97,872.23,NA,645.71,840.07,966.73,912.81,1106.41,730.56,660.77,885.85,1319.58,809.79,1091.42,1005.96,805.12,1110.46,825.71,847.2,917.35,936.15,691.73,1231.63,770.75,928.34,998.61,1303.05,778.32,616.06,745.4,904.52,762.95,808.2,945.88,631.49,1136.31,1084.15,1037.29,947.36,971.02,778.14,946.06,881.82,1021.51,1059.98,570.2,770.98,666.73,1357.92,665.02,715.18,795,816.39,904.69,605.44,552.77,887.04,932.9,1077.98,918.44,616.98,1392.12,810.99,990.36,1095.02,1137.02,698.88,974.54,1199.57,1008.14,896.83,738.99,845.9,869.29,995.47,1387.47,606.21,746.3,1026.64,1244.23,1000.66,812.26,718.06,730.54,587.62,991.6
"164","17:45:05-05",843.19,1049.14,620.11,1189.27,1058,707.6,667.71,965.93,651.73,827.29,909.66,1010.54,929.5,975,1104.06,1141.74,965.72,1121.11,1118.51,710.42,755.92,1043.14,5103.83,776.67,202.54,955.29,983.01,748.17,729.22,1026.21,985.8,-9999,741.9,763.37,1123.4,1196.11,738.29,690.43,823.89,1136.3,1169.95,804.15,1173.3,1129.77,769.63,916.41,948.77,669.37,968.3,1366.11,1110.74,675.98,1053.94,976.45,1082.39,970.75,1073.24,729.08,686.35,1152.42,763.78,1125.63,666.31,1209.55,1253.16,665.34,793.27,810.97,1367.1,960.51,907.17,954.91,991.64,965.37,834.07,1096.75,844.73,698.05,897.53,739.03,862.08,701.44,1090.09,1087.19,1185.82,768.59,885.14,711.52,1077.77,711.66,736.98,922.64,847.43,1130.83,839.72,810.26,1084.36,777.65,749.25,1125.8,1194.39,823.96,1161.86,1017.17,726.51,758.25,1193.73,634.27,1038.71,909.98,817.16,1082.57,709.64,967.04,821,599.91,1045.9,947.68,786.78,878.16,884.16,1062.46,1089.11,932.24,928.29,921.57,1043.88,896.46,947.21,617.54,1081.1,756.5,770.44,731.85,1101.5,737.78,1002.04,888.36,750.97,872.24,NA,645.72,840.04,966.73,912.78,1106.4,730.57,660.77,885.85,1319.58,809.82,1091.42,1005.85,805.12,1110.45,825.72,847.18,917.35,936.15,691.74,1231.66,770.74,928.36,998.58,1303.03,778.33,616.07,745.41,904.57,762.95,808.18,945.87,631.5,1136.31,1084.15,1037.29,947.34,971.01,778.13,946.05,881.86,1021.5,1059.97,570.2,770.98,666.77,1357.96,665.02,715.16,795,816.4,904.71,605.44,552.79,887.03,932.91,1077.97,918.39,616.97,1392.12,810.99,990.35,1095.02,1137.02,698.87,974.54,1199.5,1008.14,896.84,739,845.92,869.29,995.48,1387.47,606.22,746.3,1026.64,1244.2,1000.63,812.28,718.07,730.54,587.64,991.61
"165","17:30:05-05",843.2,1049.12,620.14,1189.28,1057.99,707.6,667.72,965.9,651.73,827.31,909.68,1010.54,929.49,974.99,1104.06,1141.74,965.72,1121.12,1118.52,710.42,755.92,1043.13,5099.34,776.68,202.55,955.3,983.01,748.18,729.24,1026.23,985.83,-9999,741.9,763.29,1123.34,1196.14,738.29,690.48,823.9,1136.28,1169.93,804.13,1173.3,1129.79,769.63,916.42,948.73,669.34,968.3,1366.12,1110.74,675.99,1053.92,976.44,1082.39,970.74,1073.25,729.07,686.32,1152.41,763.78,1125.64,666.29,1209.66,1253.17,665.32,793.27,811,1367.11,960.51,907.15,954.92,991.66,965.37,834.09,1096.73,844.74,698.06,897.53,739.04,862.12,701.45,1090.1,1087.19,1185.8,768.63,885.15,711.52,1077.77,711.67,736.97,922.62,847.43,1130.82,839.7,810.24,1084.35,777.67,749.26,1125.81,1194.39,823.96,1161.87,1017.19,726.49,758.29,1193.72,634.26,1038.69,909.98,817.13,1082.57,709.63,967.03,821,599.92,1045.92,947.71,786.8,878.17,884.16,1062.47,1089.1,932.25,928.3,921.57,1043.9,896.45,947.22,617.53,1081.11,756.53,770.45,731.86,1101.5,737.77,1002.04,888.34,750.97,872.23,NA,645.68,840.06,966.73,912.79,1106.4,730.55,660.75,885.86,1319.59,809.79,1091.43,1005.85,805.13,1110.47,825.72,847.2,917.39,936.14,691.72,1231.65,770.77,928.33,998.54,1303.04,778.35,616.06,745.41,904.59,762.97,808.14,945.87,631.5,1136.31,1084.16,1037.3,947.36,971.01,778.16,946.07,881.89,1021.5,1059.95,570.21,770.93,666.7,1357.95,665,715.17,795.03,816.37,904.73,605.42,552.79,887.03,932.89,1078.02,918.43,616.95,1392.12,810.98,990.37,1095.01,1137.02,698.86,974.55,1199.56,1008.13,896.84,738.99,845.94,869.28,995.55,1387.46,606.19,746.33,1026.63,1244.18,1000.59,812.27,718.13,730.54,587.64,991.65
"166","17:15:04-05",843.18,1049.18,620.12,1189.26,1057.98,707.56,667.71,965.93,651.73,827.28,909.66,1010.54,929.49,974.99,1104.08,1141.75,965.71,1121.12,1118.52,710.43,755.91,1043.12,5099.32,776.68,202.57,955.3,983.01,748.18,729.24,1026.23,985.82,-9999,741.88,763.37,1123.34,1196.15,738.31,690.54,823.86,1136.27,1169.94,804.16,1173.29,1129.8,769.63,916.42,948.74,669.34,968.33,1366.13,1110.74,675.99,1053.91,976.46,1082.39,970.73,1073.23,729.09,686.33,1152.41,763.78,1125.61,666.29,1209.94,1253.17,665.31,793.27,810.96,1367.12,960.51,907.16,954.92,991.66,965.37,834.05,1096.73,844.75,698.04,897.52,739.04,862.1,701.44,1090.11,1087.18,1185.83,768.66,885.14,711.54,1077.74,711.66,736.98,922.63,847.42,1130.81,839.69,810.25,1084.36,777.69,749.25,1125.81,1194.41,823.96,1161.89,1017.16,726.5,758.27,1193.71,634.26,1038.67,910.02,817.16,1082.56,709.64,967.02,821,599.93,1045.91,947.7,786.79,878.15,884.17,1062.47,1089.1,932.22,928.29,921.54,1043.9,896.43,947.24,617.55,1081.08,756.59,770.46,731.84,1101.48,737.77,1002.05,888.37,750.96,872.22,NA,645.76,840.04,966.74,912.78,1106.41,730.58,660.75,885.86,1319.58,809.78,1091.42,1005.9,805.14,1110.47,825.71,847.2,917.37,936.14,691.72,1231.64,770.79,928.32,998.55,1303.04,778.33,616.06,745.41,904.59,762.97,808.19,945.88,631.5,1136.31,1084.16,1037.28,947.36,971.02,778.16,946.05,881.95,1021.51,1060,570.25,770.96,666.74,1357.97,665.01,715.16,795.06,816.4,904.71,605.43,552.8,887.02,932.91,1077.97,918.44,616.95,1392.12,810.99,990.37,1095,1137.01,698.85,974.57,1199.47,1008.13,896.84,738.97,845.95,869.3,995.51,1387.48,606.22,746.31,1026.63,1244.2,1000.6,812.31,718.23,730.54,587.65,991.64
"167","17:00:03-05",843.18,1049.21,620.11,1189.29,1057.98,707.57,667.73,965.96,651.74,827.3,909.67,1010.55,929.5,974.98,1104.08,1141.73,965.7,1121.1,1118.51,710.42,755.91,1043.14,5103.85,776.7,202.62,955.28,983,748.18,729.23,1026.22,985.82,-9999,741.88,763.31,1123.27,1196.14,738.28,690.47,823.89,1136.25,1169.95,804.14,1173.31,1129.78,769.6,916.39,948.76,669.35,968.28,1366.12,1110.74,676,1053.9,976.45,1082.39,970.74,1073.24,729.08,686.3,1152.4,763.77,1125.65,666.29,1209.95,1253.19,665.33,793.26,810.97,1367.12,960.52,907.16,954.93,991.64,965.38,834.08,1096.73,844.74,698.08,897.5,739.04,862.09,701.44,1090.13,1087.18,1185.81,768.71,885.13,711.54,1077.77,711.65,736.97,922.62,847.44,1130.81,839.7,810.26,1084.37,777.66,749.23,1125.81,1194.42,823.98,1161.93,1017.18,726.49,758.27,1193.73,634.25,1038.67,910.04,817.16,1082.56,709.64,966.99,821,599.94,1045.9,947.73,786.78,878.15,884.16,1062.46,1089.12,932.23,928.31,921.59,1043.91,896.44,947.24,617.56,1081.09,756.61,770.46,731.81,1101.49,737.77,1002.04,888.38,750.97,872.21,NA,645.79,840.04,966.75,912.8,1106.41,730.56,660.77,885.85,1319.59,809.74,1091.39,1005.85,805.17,1110.45,825.68,847.21,917.43,936.15,691.71,1231.65,770.79,928.34,998.55,1303.04,778.34,616.05,745.4,904.57,763,808.16,945.88,631.5,1136.31,1084.16,1037.29,947.35,971.02,778.2,946.06,881.97,1021.49,1059.99,570.27,770.98,666.75,1357.96,665.01,715.17,795.04,816.41,904.71,605.42,552.79,887.03,932.91,1078,918.43,616.94,1392.12,810.97,990.36,1094.99,1137.02,698.86,974.55,1199.47,1008.12,896.82,739,845.98,869.28,995.46,1387.5,606.23,746.32,1026.62,1244.2,1000.62,812.27,718.21,730.54,587.69,991.64
"168","16:45:02-05",843.19,1049.2,620.17,1189.32,1058.01,707.54,667.71,965.93,651.73,827.31,909.68,1010.57,929.49,974.96,1104.08,1141.74,965.7,1121.1,1118.51,710.42,755.94,1043.13,5103.86,776.67,202.58,955.29,983,748.16,729.22,1026.22,985.81,-9999,741.91,763.34,1123.28,1196.15,738.31,690.47,823.86,1136.23,1169.93,804.16,1173.31,1129.82,769.62,916.42,948.78,669.33,968.34,1366.13,1110.74,675.99,1053.91,976.45,1082.39,970.76,1073.24,729.1,686.28,1152.39,763.78,1125.65,666.32,1210.22,1253.19,665.31,793.26,810.99,1367.15,960.51,907.13,954.92,991.65,965.37,834.12,1096.71,844.74,698.06,897.52,739.04,862.07,701.45,1090.14,1087.16,1185.79,768.76,885.13,711.54,1077.78,711.65,736.96,922.65,847.46,1130.81,839.72,810.28,1084.38,777.65,749.22,1125.8,1194.46,823.99,1161.96,1017.23,726.46,758.26,1193.73,634.27,1038.68,910.04,817.14,1082.57,709.62,966.98,821.02,599.88,1045.93,947.72,786.77,878.16,884.18,1062.46,1089.12,932.25,928.28,921.55,1043.93,896.43,947.26,617.55,1081.08,756.54,770.49,731.81,1101.48,737.77,1002.04,888.39,750.96,872.23,NA,645.76,840.03,966.74,912.79,1106.42,730.57,660.78,885.85,1319.58,809.8,1091.41,1005.93,805.15,1110.44,825.73,847.2,917.4,936.14,691.72,1231.65,770.8,928.32,998.57,1303.03,778.33,616.06,745.43,904.6,762.99,808.17,945.86,631.51,1136.3,1084.15,1037.29,947.36,971.02,778.16,946.07,882.01,1021.5,1060,570.29,771,666.8,1357.96,665.04,715.15,795.03,816.43,904.72,605.43,552.78,887.02,932.89,1078.07,918.42,616.92,1392.1,810.97,990.35,1095,1137.02,698.85,974.54,1199.53,1008.12,896.84,738.99,846.02,869.28,995.51,1387.5,606.19,746.3,1026.64,1244.22,1000.63,812.28,718.36,730.54,587.68,991.69
"169","16:30:01-05",843.21,1049.19,620.19,1189.34,1058.02,707.59,667.69,965.96,651.73,827.3,909.67,1010.58,929.49,974.96,1104.11,1141.71,965.72,1121.08,1118.52,710.4,755.94,1043.14,5099.36,776.69,202.61,955.29,983.01,748.17,729.24,1026.25,985.8,-9999,741.92,763.38,1123.32,1196.21,738.3,690.49,823.89,1136.24,1169.96,804.15,1173.29,1129.84,769.59,916.42,948.75,669.31,968.33,1366.11,1110.74,675.98,1053.93,976.45,1082.39,970.75,1073.24,729.08,686.3,1152.4,763.77,1125.64,666.32,1209.47,1253.2,665.32,793.27,810.99,1367.13,960.51,907.13,954.9,991.63,965.39,834.12,1096.74,844.76,698.07,897.51,739.04,862.07,701.47,1090.16,1087.14,1185.82,768.78,885.11,711.54,1077.8,711.63,736.98,922.62,847.46,1130.8,839.7,810.25,1084.38,777.66,749.23,1125.79,1194.44,823.96,1161.95,1017.24,726.46,758.25,1193.72,634.26,1038.72,910.09,817.13,1082.56,709.61,966.99,821.01,599.91,1045.93,947.73,786.76,878.14,884.15,1062.44,1089.09,932.24,928.29,921.54,1043.92,896.43,947.28,617.57,1081.11,756.5,770.47,731.82,1101.49,737.77,1002.04,888.38,750.97,872.22,NA,645.78,840.03,966.73,912.79,1106.42,730.59,660.77,885.85,1319.6,809.78,1091.44,1005.93,805.16,1110.43,825.69,847.19,917.44,936.14,691.73,1231.67,770.8,928.32,998.6,1303.04,778.34,616.06,745.4,904.59,762.99,808.15,945.86,631.52,1136.3,1084.13,1037.29,947.36,971.02,778.15,946.06,882,1021.47,1060.01,570.27,770.99,666.76,1357.95,665.01,715.16,795.03,816.41,904.7,605.44,552.79,887.03,932.9,1078.07,918.44,616.95,1392.12,810.93,990.36,1095.01,1137.03,698.85,974.55,1199.49,1008.12,896.84,738.98,846.03,869.26,995.56,1387.51,606.22,746.28,1026.62,1244.21,1000.68,812.28,718.41,730.53,587.66,991.72
"170","16:15:01-05",843.19,1049.22,620.21,1189.33,1058.03,707.58,667.72,966,651.73,827.3,909.67,1010.58,929.48,974.95,1104.14,1141.71,965.7,1121.09,1118.5,710.4,755.93,1043.14,5099.37,776.68,202.65,955.31,983.02,748.16,729.25,1026.24,985.78,-9999,741.92,763.32,1123.3,1196.22,738.29,690.68,823.9,1136.22,1169.92,804.16,1173.31,1129.84,769.6,916.42,948.79,669.33,968.29,1366.13,1110.74,675.98,1053.92,976.43,1082.38,970.72,1073.24,729.07,686.31,1152.39,763.77,1125.63,666.27,1210.22,1253.21,665.32,793.27,811.01,1367.16,960.49,907.12,954.88,991.62,965.37,834.09,1096.73,844.79,698.09,897.51,739.05,862.09,701.47,1090.19,1087.15,1185.83,768.77,885.13,711.55,1077.84,711.65,736.97,922.63,847.44,1130.79,839.69,810.29,1084.37,777.67,749.21,1125.81,1194.42,823.96,1162.01,1017.25,726.47,758.24,1193.73,634.28,1038.73,910.08,817.11,1082.56,709.63,966.98,821.02,599.89,1045.93,947.7,786.76,878.13,884.15,1062.44,1089.09,932.22,928.29,921.54,1043.91,896.46,947.3,617.59,1081.13,756.54,770.52,731.84,1101.48,737.75,1002.03,888.38,750.96,872.23,NA,645.78,840.02,966.71,912.8,1106.42,730.61,660.74,885.85,1319.6,809.76,1091.44,1005.95,805.17,1110.44,825.7,847.2,917.44,936.13,691.7,1231.67,770.8,928.33,998.62,1303.03,778.35,616.05,745.4,904.59,763,808.13,945.88,631.54,1136.29,1084.14,1037.29,947.37,971.02,778.16,946.08,881.97,1021.46,1059.99,570.36,770.99,666.88,1357.97,665.03,715.16,795.11,816.4,904.67,605.44,552.79,887.04,932.9,1078.12,918.43,616.94,1392.09,810.91,990.35,1095,1137.02,698.87,974.55,1199.52,1008.11,896.85,738.99,846.06,869.28,995.53,1387.52,606.21,746.32,1026.61,1244.22,1000.67,812.28,718.56,730.52,587.68,991.68
